song,album,prev,lyric,next,artist
Cabin Fever,From Her To Eternity,,The Captain’s fore-arm like bunched-up rope,With A-N-I-T-A wriggling free on a skull’n’dagger,Nick Cave & The Bad Seeds
Cabin Fever,From Her To Eternity,The Captain’s fore-arm like bunched-up rope,With A-N-I-T-A wriggling free on a skull’n’dagger,"And a portrait of Christ, nailed to an anchor",Nick Cave & The Bad Seeds
Cabin Fever,From Her To Eternity,With A-N-I-T-A wriggling free on a skull’n’dagger,"And a portrait of Christ, nailed to an anchor",Etched into his upper…,Nick Cave & The Bad Seeds
Cabin Fever,From Her To Eternity,"And a portrait of Christ, nailed to an anchor",Etched into his upper…,,Nick Cave & The Bad Seeds
Cabin Fever,From Her To Eternity,Etched into his upper…,,O o o’ Cabin Fever!,Nick Cave & The Bad Seeds
Cabin Fever,From Her To Eternity,,O o o’ Cabin Fever!,O o o’ Cabin Fever!,Nick Cave & The Bad Seeds
Cabin Fever,From Her To Eternity,O o o’ Cabin Fever!,O o o’ Cabin Fever!,,Nick Cave & The Bad Seeds
Cabin Fever,From Her To Eternity,O o o’ Cabin Fever!,,Slams his fucking tin-dish down,Nick Cave & The Bad Seeds
Cabin Fever,From Her To Eternity,,Slams his fucking tin-dish down,"Our Captain, takes time to crush",Nick Cave & The Bad Seeds
Cabin Fever,From Her To Eternity,Slams his fucking tin-dish down,"Our Captain, takes time to crush",Some Bloo-Bottles glowin in his gruel,Nick Cave & The Bad Seeds
Cabin Fever,From Her To Eternity,"Our Captain, takes time to crush",Some Bloo-Bottles glowin in his gruel,"With a lump in his throat, and lumpy mush",Nick Cave & The Bad Seeds
Cabin Fever,From Her To Eternity,Some Bloo-Bottles glowin in his gruel,"With a lump in his throat, and lumpy mush",Thumbing a scrapbook stuck up with clag,Nick Cave & The Bad Seeds
Cabin Fever,From Her To Eternity,"With a lump in his throat, and lumpy mush",Thumbing a scrapbook stuck up with clag,And a morbid lump of Love in his flags,Nick Cave & The Bad Seeds
Cabin Fever,From Her To Eternity,Thumbing a scrapbook stuck up with clag,And a morbid lump of Love in his flags,"Done is the Missing, now all that remain",Nick Cave & The Bad Seeds
Cabin Fever,From Her To Eternity,And a morbid lump of Love in his flags,"Done is the Missing, now all that remain","Is to sail forever, upon the stain",Nick Cave & The Bad Seeds
Cabin Fever,From Her To Eternity,"Done is the Missing, now all that remain","Is to sail forever, upon the stain",,Nick Cave & The Bad Seeds
Cabin Fever,From Her To Eternity,"Is to sail forever, upon the stain",,Cabin Fever! O o o’ Cabin Fever!,Nick Cave & The Bad Seeds
Cabin Fever,From Her To Eternity,,Cabin Fever! O o o’ Cabin Fever!,,Nick Cave & The Bad Seeds
Cabin Fever,From Her To Eternity,Cabin Fever! O o o’ Cabin Fever!,,The captains free-hand is a cleaver,Nick Cave & The Bad Seeds
Cabin Fever,From Her To Eternity,,The captains free-hand is a cleaver,"Which he fashions his beard, and he rations his jerky!",Nick Cave & The Bad Seeds
Cabin Fever,From Her To Eternity,The captains free-hand is a cleaver,"Which he fashions his beard, and he rations his jerky!",And carves his peg outta the finest mahogany!,Nick Cave & The Bad Seeds
Cabin Fever,From Her To Eternity,"Which he fashions his beard, and he rations his jerky!",And carves his peg outta the finest mahogany!,Or was it Ebony?,Nick Cave & The Bad Seeds
Cabin Fever,From Her To Eternity,And carves his peg outta the finest mahogany!,Or was it Ebony?,"Tallies up his loneliness, notch by notch",Nick Cave & The Bad Seeds
Cabin Fever,From Her To Eternity,Or was it Ebony?,"Tallies up his loneliness, notch by notch",‘Cause the sea offers nothing to hold or touch,Nick Cave & The Bad Seeds
Cabin Fever,From Her To Eternity,"Tallies up his loneliness, notch by notch",‘Cause the sea offers nothing to hold or touch,"Notch by notch, winter by winter",Nick Cave & The Bad Seeds
Cabin Fever,From Her To Eternity,‘Cause the sea offers nothing to hold or touch,"Notch by notch, winter by winter","Notch by notch, winter by winter",Nick Cave & The Bad Seeds
Cabin Fever,From Her To Eternity,"Notch by notch, winter by winter","Notch by notch, winter by winter","Now his leg is whittled, right down to a splinter",Nick Cave & The Bad Seeds
Cabin Fever,From Her To Eternity,"Notch by notch, winter by winter","Now his leg is whittled, right down to a splinter",,Nick Cave & The Bad Seeds
Cabin Fever,From Her To Eternity,"Now his leg is whittled, right down to a splinter",,O o Cabin Fever! O o o Cabin Fever!,Nick Cave & The Bad Seeds
Cabin Fever,From Her To Eternity,,O o Cabin Fever! O o o Cabin Fever!,O the rollin sea keeps rollin on!,Nick Cave & The Bad Seeds
Cabin Fever,From Her To Eternity,O o Cabin Fever! O o o Cabin Fever!,O the rollin sea keeps rollin on!,O the rollin sea keeps rollin on!,Nick Cave & The Bad Seeds
Cabin Fever,From Her To Eternity,O the rollin sea keeps rollin on!,O the rollin sea keeps rollin on!,She’s everywhere! now that she’s gone!,Nick Cave & The Bad Seeds
Cabin Fever,From Her To Eternity,O the rollin sea keeps rollin on!,She’s everywhere! now that she’s gone!,She’s everywhere! now that she’s gone! Gone! Gone!,Nick Cave & The Bad Seeds
Cabin Fever,From Her To Eternity,She’s everywhere! now that she’s gone!,She’s everywhere! now that she’s gone! Gone! Gone!,O Cabin Fever!,Nick Cave & The Bad Seeds
Cabin Fever,From Her To Eternity,She’s everywhere! now that she’s gone! Gone! Gone!,O Cabin Fever!,,Nick Cave & The Bad Seeds
Cabin Fever,From Her To Eternity,O Cabin Fever!,,"Welcome to his table, Beloved-Unconscious",Nick Cave & The Bad Seeds
Cabin Fever,From Her To Eternity,,"Welcome to his table, Beloved-Unconscious",Raisin her host of hair from her crooks,Nick Cave & The Bad Seeds
Cabin Fever,From Her To Eternity,"Welcome to his table, Beloved-Unconscious",Raisin her host of hair from her crooks,And struggling to summon one of her looks!,Nick Cave & The Bad Seeds
