song,album,prev,lyric,next,artist,year,,
Sonny’s Burning,The Bad Seed,,Have you heard how Sonny’s burning,Like some bright erotic star?,The Birthday Party,1983,,
Sonny’s Burning,The Bad Seed,Have you heard how Sonny’s burning,Like some bright erotic star?,He lights up the proceedings,The Birthday Party,1983,,
Sonny’s Burning,The Bad Seed,Like some bright erotic star?,He lights up the proceedings,And raises the temperature,The Birthday Party,1983,,
Sonny’s Burning,The Bad Seed,He lights up the proceedings,And raises the temperature,Flame on! Flame on!,The Birthday Party,1983,,
Sonny’s Burning,The Bad Seed,And raises the temperature,Flame on! Flame on!,,The Birthday Party,1983,,
Sonny’s Burning,The Bad Seed,Flame on! Flame on!,,Now I’ve seen to Sonny’s Burning,The Birthday Party,1983,,
Sonny’s Burning,The Bad Seed,,Now I’ve seen to Sonny’s Burning,Someday I think I’ll cut him down,The Birthday Party,1983,,
Sonny’s Burning,The Bad Seed,Now I’ve seen to Sonny’s Burning,Someday I think I’ll cut him down,But it can get so cold in here And he gives off such an evil heat,The Birthday Party,1983,,
Sonny’s Burning,The Bad Seed,Someday I think I’ll cut him down,But it can get so cold in here And he gives off such an evil heat,Flame on! Flame on!,The Birthday Party,1983,,
Sonny’s Burning,The Bad Seed,But it can get so cold in here And he gives off such an evil heat,Flame on! Flame on!,Hail my incubatic incubator,The Birthday Party,1983,,
Sonny’s Burning,The Bad Seed,Flame on! Flame on!,Hail my incubatic incubator,,The Birthday Party,1983,,
Sonny’s Burning,The Bad Seed,Hail my incubatic incubator,,Now pay witness to Sonny’s Burning,The Birthday Party,1983,,
Sonny’s Burning,The Bad Seed,,Now pay witness to Sonny’s Burning,Warming the damp and rotten seed,The Birthday Party,1983,,
Sonny’s Burning,The Bad Seed,Now pay witness to Sonny’s Burning,Warming the damp and rotten seed,Warming the damp and rotten seed,The Birthday Party,1983,,
Sonny’s Burning,The Bad Seed,Warming the damp and rotten seed,Warming the damp and rotten seed,That blooms into the demon flower,The Birthday Party,1983,,
Sonny’s Burning,The Bad Seed,Warming the damp and rotten seed,That blooms into the demon flower,Now fire and flowers both consume me,The Birthday Party,1983,,
Sonny’s Burning,The Bad Seed,That blooms into the demon flower,Now fire and flowers both consume me,Flame on! Flame on!,The Birthday Party,1983,,
Sonny’s Burning,The Bad Seed,Now fire and flowers both consume me,Flame on! Flame on!,,The Birthday Party,1983,,
Sonny’s Burning,The Bad Seed,Flame on! Flame on!,,Evil heat is running through me,The Birthday Party,1983,,
Sonny’s Burning,The Bad Seed,,Evil heat is running through me,Flame on! Flame on!,The Birthday Party,1983,,
Sonny’s Burning,The Bad Seed,Evil heat is running through me,Flame on! Flame on!,Sonny’s burning pits into me,The Birthday Party,1983,,
Sonny’s Burning,The Bad Seed,Flame on! Flame on!,Sonny’s burning pits into me,Flame on! Flame on!,The Birthday Party,1983,,
Sonny’s Burning,The Bad Seed,Sonny’s burning pits into me,Flame on! Flame on!,Sonny’s burning holes into me,The Birthday Party,1983,,
Sonny’s Burning,The Bad Seed,Flame on! Flame on!,Sonny’s burning holes into me,Don’t interrupt! Don’t interrupt!,The Birthday Party,1983,,
Sonny’s Burning,The Bad Seed,Sonny’s burning holes into me,Don’t interrupt! Don’t interrupt!,Flame on! Flame on!,The Birthday Party,1983,,
Sonny’s Burning,The Bad Seed,Don’t interrupt! Don’t interrupt!,Flame on! Flame on!,,The Birthday Party,1983,,
Wild World,The Bad Seed,,Hold me up baby for I may fall,Hold my dish-rag body tall,The Birthday Party,1983,,
Wild World,The Bad Seed,Hold me up baby for I may fall,Hold my dish-rag body tall,Our bodies melt together (we are one),The Birthday Party,1983,,
Wild World,The Bad Seed,Hold my dish-rag body tall,Our bodies melt together (we are one),"Post crucifixion baby, and all undone",The Birthday Party,1983,,
Wild World,The Bad Seed,Our bodies melt together (we are one),"Post crucifixion baby, and all undone",,The Birthday Party,1983,,
Wild World,The Bad Seed,"Post crucifixion baby, and all undone",,It’s a wild world,The Birthday Party,1983,,
Wild World,The Bad Seed,,It’s a wild world,,The Birthday Party,1983,,
Wild World,The Bad Seed,It’s a wild world,,Church bells ring out the toll of our night,The Birthday Party,1983,,
Wild World,The Bad Seed,,Church bells ring out the toll of our night,Forward and forever backward,The Birthday Party,1983,,
Wild World,The Bad Seed,Church bells ring out the toll of our night,Forward and forever backward,Forever backward forever forward all right,The Birthday Party,1983,,
Wild World,The Bad Seed,Forward and forever backward,Forever backward forever forward all right,Strophe and antistrophe,The Birthday Party,1983,,
Wild World,The Bad Seed,Forever backward forever forward all right,Strophe and antistrophe,Strophe and antistrophe,The Birthday Party,1983,,
Wild World,The Bad Seed,Strophe and antistrophe,Strophe and antistrophe,"(C’mon baby, hold me tight)",The Birthday Party,1983,,
Wild World,The Bad Seed,Strophe and antistrophe,"(C’mon baby, hold me tight)","It’s a wild world, a wild world",The Birthday Party,1983,,
Wild World,The Bad Seed,"(C’mon baby, hold me tight)","It’s a wild world, a wild world",Up here in your arms tonight,The Birthday Party,1983,,
Wild World,The Bad Seed,"It’s a wild world, a wild world",Up here in your arms tonight,,The Birthday Party,1983,,
Wild World,The Bad Seed,Up here in your arms tonight,,Don’t push me,The Birthday Party,1983,,
Wild World,The Bad Seed,,Don’t push me,Don’t push me,The Birthday Party,1983,,
Wild World,The Bad Seed,Don’t push me,Don’t push me,,The Birthday Party,1983,,
Wild World,The Bad Seed,Don’t push me,,It’s a wild world,The Birthday Party,1983,,
Wild World,The Bad Seed,,It’s a wild world,,The Birthday Party,1983,,
Fears of Gun,The Bad Seed,,Gun wears his alcoholism well,Finger in Bottle and swingin’ it still,The Birthday Party,1983,,
Fears of Gun,The Bad Seed,Gun wears his alcoholism well,Finger in Bottle and swingin’ it still,From Bed to Sink and back again,The Birthday Party,1983,,
Fears of Gun,The Bad Seed,Finger in Bottle and swingin’ it still,From Bed to Sink and back again,Clock is crawlin’ round the same,The Birthday Party,1983,,
Fears of Gun,The Bad Seed,From Bed to Sink and back again,Clock is crawlin’ round the same,He’s bustin’ Clock (he hates its face),The Birthday Party,1983,,
Fears of Gun,The Bad Seed,Clock is crawlin’ round the same,He’s bustin’ Clock (he hates its face),Just sittin’ and talkin’ to Heart in ticks,The Birthday Party,1983,,
Fears of Gun,The Bad Seed,He’s bustin’ Clock (he hates its face),Just sittin’ and talkin’ to Heart in ticks,Talkin’ back to Clock in slow and studied kicks,The Birthday Party,1983,,
Fears of Gun,The Bad Seed,Just sittin’ and talkin’ to Heart in ticks,Talkin’ back to Clock in slow and studied kicks,The fears of Gun are the fears of everyone,The Birthday Party,1983,,
Fears of Gun,The Bad Seed,Talkin’ back to Clock in slow and studied kicks,The fears of Gun are the fears of everyone,,The Birthday Party,1983,,
Fears of Gun,The Bad Seed,The fears of Gun are the fears of everyone,,Fingers down the throat of love,The Birthday Party,1983,,
Fears of Gun,The Bad Seed,,Fingers down the throat of love,Fingers down the throat of love,The Birthday Party,1983,,
Fears of Gun,The Bad Seed,Fingers down the throat of love,Fingers down the throat of love,Fingers down the throat of love,The Birthday Party,1983,,
Fears of Gun,The Bad Seed,Fingers down the throat of love,Fingers down the throat of love,Love! Love!,The Birthday Party,1983,,
Fears of Gun,The Bad Seed,Fingers down the throat of love,Love! Love!,,The Birthday Party,1983,,
Fears of Gun,The Bad Seed,Love! Love!,,Gun does the waltz around the room,The Birthday Party,1983,,
Fears of Gun,The Bad Seed,,Gun does the waltz around the room,Collecting Table and Chairs and Sofa and so on and so on,The Birthday Party,1983,,
