song,album,prev,lyric,next,artist,year
Song Of Joy,Murder Ballads,,"Have mercy on me, sir",Allow me to impose on you,Nick Cave & The Bad Seeds,1996
Song Of Joy,Murder Ballads,"Have mercy on me, sir",Allow me to impose on you,I have no place to stay,Nick Cave & The Bad Seeds,1996
Song Of Joy,Murder Ballads,Allow me to impose on you,I have no place to stay,And my bones are cold right through,Nick Cave & The Bad Seeds,1996
Song Of Joy,Murder Ballads,I have no place to stay,And my bones are cold right through,I will tell you a story,Nick Cave & The Bad Seeds,1996
Song Of Joy,Murder Ballads,And my bones are cold right through,I will tell you a story,Of a man and his family,Nick Cave & The Bad Seeds,1996
Song Of Joy,Murder Ballads,I will tell you a story,Of a man and his family,And I swear that it is true,Nick Cave & The Bad Seeds,1996
Song Of Joy,Murder Ballads,Of a man and his family,And I swear that it is true,,Nick Cave & The Bad Seeds,1996
Song Of Joy,Murder Ballads,And I swear that it is true,,Ten years ago I met a girl named Joy,Nick Cave & The Bad Seeds,1996
Song Of Joy,Murder Ballads,,Ten years ago I met a girl named Joy,She was a sweet and happy thing,Nick Cave & The Bad Seeds,1996
Song Of Joy,Murder Ballads,Ten years ago I met a girl named Joy,She was a sweet and happy thing,Her eyes were bright blue jewels,Nick Cave & The Bad Seeds,1996
Song Of Joy,Murder Ballads,She was a sweet and happy thing,Her eyes were bright blue jewels,And we were married in the spring,Nick Cave & The Bad Seeds,1996
Song Of Joy,Murder Ballads,Her eyes were bright blue jewels,And we were married in the spring,I had no idea what happiness a little love could bring,Nick Cave & The Bad Seeds,1996
Song Of Joy,Murder Ballads,And we were married in the spring,I had no idea what happiness a little love could bring,Or what life had in store,Nick Cave & The Bad Seeds,1996
Song Of Joy,Murder Ballads,I had no idea what happiness a little love could bring,Or what life had in store,But all things move toward their end,Nick Cave & The Bad Seeds,1996
Song Of Joy,Murder Ballads,Or what life had in store,But all things move toward their end,All things move toward their end,Nick Cave & The Bad Seeds,1996
Song Of Joy,Murder Ballads,But all things move toward their end,All things move toward their end,On that you can be sure,Nick Cave & The Bad Seeds,1996
Song Of Joy,Murder Ballads,All things move toward their end,On that you can be sure,,Nick Cave & The Bad Seeds,1996
Song Of Joy,Murder Ballads,On that you can be sure,,La la la la la la la la la la,Nick Cave & The Bad Seeds,1996
Song Of Joy,Murder Ballads,,La la la la la la la la la la,La la la la la la la la la la,Nick Cave & The Bad Seeds,1996
Song Of Joy,Murder Ballads,La la la la la la la la la la,La la la la la la la la la la,,Nick Cave & The Bad Seeds,1996
Song Of Joy,Murder Ballads,La la la la la la la la la la,,Then one morning I awoke to find her weeping,Nick Cave & The Bad Seeds,1996
Song Of Joy,Murder Ballads,,Then one morning I awoke to find her weeping,And for many days to follow,Nick Cave & The Bad Seeds,1996
Song Of Joy,Murder Ballads,Then one morning I awoke to find her weeping,And for many days to follow,She grew so sad and lonely,Nick Cave & The Bad Seeds,1996
Song Of Joy,Murder Ballads,And for many days to follow,She grew so sad and lonely,Became Joy in name only,Nick Cave & The Bad Seeds,1996
Song Of Joy,Murder Ballads,She grew so sad and lonely,Became Joy in name only,Within her breast there launched an unnamed sorrow,Nick Cave & The Bad Seeds,1996
Song Of Joy,Murder Ballads,Became Joy in name only,Within her breast there launched an unnamed sorrow,And a dark and grim force set sail,Nick Cave & The Bad Seeds,1996
Song Of Joy,Murder Ballads,Within her breast there launched an unnamed sorrow,And a dark and grim force set sail,Farewell happy fields,Nick Cave & The Bad Seeds,1996
Song Of Joy,Murder Ballads,And a dark and grim force set sail,Farewell happy fields,Where joy forever dwells,Nick Cave & The Bad Seeds,1996
Song Of Joy,Murder Ballads,Farewell happy fields,Where joy forever dwells,Hail horrors hail,Nick Cave & The Bad Seeds,1996
Song Of Joy,Murder Ballads,Where joy forever dwells,Hail horrors hail,,Nick Cave & The Bad Seeds,1996
Song Of Joy,Murder Ballads,Hail horrors hail,,Was it an act of contrition or some awful premonition,Nick Cave & The Bad Seeds,1996
Song Of Joy,Murder Ballads,,Was it an act of contrition or some awful premonition,As if she saw into the heart of her final blood-soaked night,Nick Cave & The Bad Seeds,1996
Song Of Joy,Murder Ballads,Was it an act of contrition or some awful premonition,As if she saw into the heart of her final blood-soaked night,"Those lunatic eyes, that hungry kitchen knife",Nick Cave & The Bad Seeds,1996
Song Of Joy,Murder Ballads,As if she saw into the heart of her final blood-soaked night,"Those lunatic eyes, that hungry kitchen knife","Ah, I see, sir, that I have your attention!",Nick Cave & The Bad Seeds,1996
Song Of Joy,Murder Ballads,"Those lunatic eyes, that hungry kitchen knife","Ah, I see, sir, that I have your attention!","Well, could it be?",Nick Cave & The Bad Seeds,1996
Song Of Joy,Murder Ballads,"Ah, I see, sir, that I have your attention!","Well, could it be?",How often I’ve asked that question,Nick Cave & The Bad Seeds,1996
Song Of Joy,Murder Ballads,"Well, could it be?",How often I’ve asked that question,"Well, then in quick succession",Nick Cave & The Bad Seeds,1996
Song Of Joy,Murder Ballads,How often I’ve asked that question,"Well, then in quick succession","We had babies, one, two, three",Nick Cave & The Bad Seeds,1996
Song Of Joy,Murder Ballads,"Well, then in quick succession","We had babies, one, two, three",,Nick Cave & The Bad Seeds,1996
Song Of Joy,Murder Ballads,"We had babies, one, two, three",,"We called them Hilda, Hattie and Holly",Nick Cave & The Bad Seeds,1996
Song Of Joy,Murder Ballads,,"We called them Hilda, Hattie and Holly",They were their mother’s children,Nick Cave & The Bad Seeds,1996
Song Of Joy,Murder Ballads,"We called them Hilda, Hattie and Holly",They were their mother’s children,Their eyes were bright blue jewels,Nick Cave & The Bad Seeds,1996
Song Of Joy,Murder Ballads,They were their mother’s children,Their eyes were bright blue jewels,And they were quiet as a mouse,Nick Cave & The Bad Seeds,1996
Song Of Joy,Murder Ballads,Their eyes were bright blue jewels,And they were quiet as a mouse,There was no laughter in the house,Nick Cave & The Bad Seeds,1996
Song Of Joy,Murder Ballads,And they were quiet as a mouse,There was no laughter in the house,"No, not from Hilda, Hattie or Holly",Nick Cave & The Bad Seeds,1996
