song,prev,lyric,next,album,year,artist
Mickey Mouse And The Goodbye Man,,I woke up this morning and I thought what am I doing,Yeah what am I doing here,Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,I woke up this morning and I thought what am I doing,Yeah what am I doing here,I woke up this morning and I thought what am I doing,Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,Yeah what am I doing here,I woke up this morning and I thought what am I doing,Yeah what am I doing here,Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,I woke up this morning and I thought what am I doing,Yeah what am I doing here,"Well my brother, he starts raging!",Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,Yeah what am I doing here,"Well my brother, he starts raging!",Watch him rising! See him howling!,Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,"Well my brother, he starts raging!",Watch him rising! See him howling!,And he sucked her and he sucked her and he sucked her dry,Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,Watch him rising! See him howling!,And he sucked her and he sucked her and he sucked her dry,And he bit at me and bit at me and said goodbye,Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,And he sucked her and he sucked her and he sucked her dry,And he bit at me and bit at me and said goodbye,Up on the twenty-ninth floor! Up on the twenty-ninth floor!,Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,And he bit at me and bit at me and said goodbye,Up on the twenty-ninth floor! Up on the twenty-ninth floor!,Aoooooow! Aoooooow!,Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,Up on the twenty-ninth floor! Up on the twenty-ninth floor!,Aoooooow! Aoooooow!,,Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,Aoooooow! Aoooooow!,,"Well, I was lying there with just my brother",Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,,"Well, I was lying there with just my brother",We could hear someone rattling the locks,Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,"Well, I was lying there with just my brother",We could hear someone rattling the locks,I was lying there with just my brother,Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,We could hear someone rattling the locks,I was lying there with just my brother,He said do you think that might be the cops?,Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,I was lying there with just my brother,He said do you think that might be the cops?,And we sucked her and we sucked her and we sucked her dry,Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,He said do you think that might be the cops?,And we sucked her and we sucked her and we sucked her dry,And we sucked her and we sucked her and we sucked her dry,Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,And we sucked her and we sucked her and we sucked her dry,And we sucked her and we sucked her and we sucked her dry,I was Mickey Mouse! He was the big bad wolf!,Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,And we sucked her and we sucked her and we sucked her dry,I was Mickey Mouse! He was the big bad wolf!,,Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,I was Mickey Mouse! He was the big bad wolf!,,Next thing you know I’m looking down below,Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,,Next thing you know I’m looking down below,See a lupine child with her hair on fire,Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,Next thing you know I’m looking down below,See a lupine child with her hair on fire,Little burning girl! She’s looking up at me!,Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,See a lupine child with her hair on fire,Little burning girl! She’s looking up at me!,Running to the elevator! Getting in the elevator!,Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,Little burning girl! She’s looking up at me!,Running to the elevator! Getting in the elevator!,"Sixth floor, seventh floor, eighth floor, nine",Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,Running to the elevator! Getting in the elevator!,"Sixth floor, seventh floor, eighth floor, nine","Come on baby,  gonna blow my mind!",Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,"Sixth floor, seventh floor, eighth floor, nine","Come on baby,  gonna blow my mind!",Oooooooow!,Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,"Come on baby,  gonna blow my mind!",Oooooooow!,,Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,Oooooooow!,,"Well, I woke up this morning and he was gone",Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,,"Well, I woke up this morning and he was gone",There were posters in the airports and the stations,Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,"Well, I woke up this morning and he was gone",There were posters in the airports and the stations,We took shelter,Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,There were posters in the airports and the stations,We took shelter,We took shelter,Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,We took shelter,We took shelter,Under her body,Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,We took shelter,Under her body,Under her body,Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,Under her body,Under her body,We sucked her and we sucked her and we sucked her dry,Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,Under her body,We sucked her and we sucked her and we sucked her dry,We sucked her and we sucked her and we shaved her dry,Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,We sucked her and we sucked her and we sucked her dry,We sucked her and we sucked her and we shaved her dry,He kissed me and kissed me and said goodbye,Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,We sucked her and we sucked her and we shaved her dry,He kissed me and kissed me and said goodbye,He kissed me and kissed me and said goodbye,Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,He kissed me and kissed me and said goodbye,He kissed me and kissed me and said goodbye,Alright!,Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,He kissed me and kissed me and said goodbye,Alright!,,Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,Alright!,,"Well, no time at all, she’s walking down the hall",Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,,"Well, no time at all, she’s walking down the hall",She’s a bat-faced girl with dynamite curls,Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,"Well, no time at all, she’s walking down the hall",She’s a bat-faced girl with dynamite curls,"Ringing the bell-bell, banging on the door",Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,She’s a bat-faced girl with dynamite curls,"Ringing the bell-bell, banging on the door",Walking down the travelator! Walking down the travelator!,Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,"Ringing the bell-bell, banging on the door",Walking down the travelator! Walking down the travelator!,Twenny-two twenny-four twenny-six twenny-nine,Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,Walking down the travelator! Walking down the travelator!,Twenny-two twenny-four twenny-six twenny-nine,Come on baby and blow my mind!,Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,Twenny-two twenny-four twenny-six twenny-nine,Come on baby and blow my mind!,Ooooooow! Oooooooooooow! Yeah!,Grinderman 2,2010,Grinderman
Mickey Mouse And The Goodbye Man,Come on baby and blow my mind!,Ooooooow! Oooooooooooow! Yeah!,,Grinderman 3,2010,Grinderman
Worm Tamer,,You know they call my girl The Snake Charmer,Here she comes rising with the yellow dawn,Grinderman 2,2010,Grinderman
Worm Tamer,You know they call my girl The Snake Charmer,Here she comes rising with the yellow dawn,You know I would do nothing to ever harm her,Grinderman 2,2010,Grinderman
Worm Tamer,Here she comes rising with the yellow dawn,You know I would do nothing to ever harm her,I guess that I’ve loved you for too long,Grinderman 2,2010,Grinderman
Worm Tamer,You know I would do nothing to ever harm her,I guess that I’ve loved you for too long,,Grinderman 2,2010,Grinderman
Worm Tamer,I guess that I’ve loved you for too long,,You know they call my girl The Worm Tamer,Grinderman 2,2010,Grinderman
Worm Tamer,,You know they call my girl The Worm Tamer,She cracks lightning like a vipers tongue,Grinderman 2,2010,Grinderman
Worm Tamer,You know they call my girl The Worm Tamer,She cracks lightning like a vipers tongue,She leaves me every night and who can blame her,Grinderman 2,2010,Grinderman
Worm Tamer,She cracks lightning like a vipers tongue,She leaves me every night and who can blame her,I guess that I’ve loved you for too long,Grinderman 2,2010,Grinderman
Worm Tamer,She leaves me every night and who can blame her,I guess that I’ve loved you for too long,,Grinderman 2,2010,Grinderman
Worm Tamer,I guess that I’ve loved you for too long,,For too long!,Grinderman 2,2010,Grinderman
Worm Tamer,,For too long!,For too long!,Grinderman 2,2010,Grinderman
Worm Tamer,For too long!,For too long!,,Grinderman 2,2010,Grinderman
Worm Tamer,For too long!,,You know they call my girl The Serpent Wrangler,Grinderman 2,2010,Grinderman
Worm Tamer,,You know they call my girl The Serpent Wrangler,Eating inchworms down the bill-a-bong,Grinderman 2,2010,Grinderman
Worm Tamer,You know they call my girl The Serpent Wrangler,Eating inchworms down the bill-a-bong,I spent all last night trying to untangle her,Grinderman 2,2010,Grinderman
