title,prev,line,next,album,year,artist
Avalanche,,I stepped into an avalanche,It covered up my soul,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Avalanche,I stepped into an avalanche,It covered up my soul,When I am not this hunchback that you see,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Avalanche,It covered up my soul,When I am not this hunchback that you see,I sleep beneath the golden hill,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Avalanche,When I am not this hunchback that you see,I sleep beneath the golden hill,"You, who wish to conquer pain",From Her To Eternity,1984,Nick Cave & The Bad Seeds
Avalanche,I sleep beneath the golden hill,"You, who wish to conquer pain","You, must learn, learn to serve me well",From Her To Eternity,1984,Nick Cave & The Bad Seeds
Avalanche,"You, who wish to conquer pain","You, must learn, learn to serve me well",,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Avalanche,"You, must learn, learn to serve me well",,You strike my side by accident,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Avalanche,,You strike my side by accident,As you go down to your goal,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Avalanche,You strike my side by accident,As you go down to your goal,This cripple here that you clothe and feed,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Avalanche,As you go down to your goal,This cripple here that you clothe and feed,Is neither starved nor cold,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Avalanche,This cripple here that you clothe and feed,Is neither starved nor cold,He does not ask for your company,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Avalanche,Is neither starved nor cold,He does not ask for your company,"Not at the centre, the centre of the world",From Her To Eternity,1984,Nick Cave & The Bad Seeds
Avalanche,He does not ask for your company,"Not at the centre, the centre of the world",,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Avalanche,"Not at the centre, the centre of the world",,And I am on a pedestal,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Avalanche,,And I am on a pedestal,You did not raise me there,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Avalanche,And I am on a pedestal,You did not raise me there,Your laws do not compel me now,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Avalanche,You did not raise me there,Your laws do not compel me now,To kneel grotesque and bare,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Avalanche,Your laws do not compel me now,To kneel grotesque and bare,"I, myself, am the pedestal",From Her To Eternity,1984,Nick Cave & The Bad Seeds
Avalanche,To kneel grotesque and bare,"I, myself, am the pedestal",For this ugly hump at which you stare,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Avalanche,"I, myself, am the pedestal",For this ugly hump at which you stare,,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Avalanche,For this ugly hump at which you stare,,You who wish to conquer pain,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Avalanche,,You who wish to conquer pain,You must learn what makes me kind,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Avalanche,You who wish to conquer pain,You must learn what makes me kind,The crumbs of love that you offer me,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Avalanche,You must learn what makes me kind,The crumbs of love that you offer me,Are the crumbs I’ve left behind,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Avalanche,The crumbs of love that you offer me,Are the crumbs I’ve left behind,Your pain is no credential here,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Avalanche,Are the crumbs I’ve left behind,Your pain is no credential here,It’s just a shadow of my wound,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Avalanche,Your pain is no credential here,It’s just a shadow of my wound,,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Avalanche,It’s just a shadow of my wound,,I have begun to ask for you,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Avalanche,,I have begun to ask for you,"I, who have no greed",From Her To Eternity,1984,Nick Cave & The Bad Seeds
Avalanche,I have begun to ask for you,"I, who have no greed",I have begun to long for you,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Avalanche,"I, who have no greed",I have begun to long for you,"I, who have no need",From Her To Eternity,1984,Nick Cave & The Bad Seeds
Avalanche,I have begun to long for you,"I, who have no need",You say you’ve gone away from me,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Avalanche,"I, who have no need",You say you’ve gone away from me,But I can feel you when you breathe,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Avalanche,You say you’ve gone away from me,But I can feel you when you breathe,,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Avalanche,But I can feel you when you breathe,,Do not dress in those rags for me,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Avalanche,,Do not dress in those rags for me,I know you are not poor,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Avalanche,Do not dress in those rags for me,I know you are not poor,And do not love me quite so fiercely now,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Avalanche,I know you are not poor,And do not love me quite so fiercely now,When you know that you are not sure,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Avalanche,And do not love me quite so fiercely now,When you know that you are not sure,"It is your turn, my beloved one",From Her To Eternity,1984,Nick Cave & The Bad Seeds
Avalanche,When you know that you are not sure,"It is your turn, my beloved one",It is your flesh that I wear,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Avalanche,"It is your turn, my beloved one",It is your flesh that I wear,,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Cabin Fever,,The Captain’s fore-arm like bunched-up rope,With A-N-I-T-A wriggling free on a skull’n’dagger,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Cabin Fever,The Captain’s fore-arm like bunched-up rope,With A-N-I-T-A wriggling free on a skull’n’dagger,"And a portrait of Christ, nailed to an anchor",From Her To Eternity,1984,Nick Cave & The Bad Seeds
Cabin Fever,With A-N-I-T-A wriggling free on a skull’n’dagger,"And a portrait of Christ, nailed to an anchor",Etched into his upper…,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Cabin Fever,"And a portrait of Christ, nailed to an anchor",Etched into his upper…,,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Cabin Fever,Etched into his upper…,,O o o’ Cabin Fever!,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Cabin Fever,,O o o’ Cabin Fever!,O o o’ Cabin Fever!,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Cabin Fever,O o o’ Cabin Fever!,O o o’ Cabin Fever!,,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Cabin Fever,O o o’ Cabin Fever!,,Slams his fucking tin-dish down,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Cabin Fever,,Slams his fucking tin-dish down,"Our Captain, takes time to crush",From Her To Eternity,1984,Nick Cave & The Bad Seeds
