title,album,year,artist
Zoo-Music Girl,Prayers on Fire,1981,The Birthday Party
Cry,Prayers on Fire,1981,The Birthday Party
Nick the Stripper,Prayers on Fire,1981,The Birthday Party
Figure of Fun,Prayers on Fire,1981,The Birthday Party
King Ink,Prayers on Fire,1981,The Birthday Party
A Dead Song,Prayers on Fire,1981,The Birthday Party
Yard,Prayers on Fire,1981,The Birthday Party
Just You and Me,Prayers on Fire,1981,The Birthday Party
Release the Bats,,1981,The Birthday Party
Mr Clarinet,,1981,The Birthday Party
Happy Birthday,,1981,The Birthday Party
The Friend Catcher,,1981,The Birthday Party
Kathy’s Kisses,,1981,The Birthday Party
Big–Jesus–Trash–Can,Junkyard,1982,The Birthday Party
Kiss Me Black,Junkyard,1982,The Birthday Party
6″ Gold Blade,Junkyard,1982,The Birthday Party
Kewpie Doll,Junkyard,1982,The Birthday Party
Junkyard,Junkyard,1982,The Birthday Party
She’s Hit,Junkyard,1982,The Birthday Party
Dead Joe,Junkyard,1982,The Birthday Party
"Hamlet (Pow, Pow, Pow)",Junkyard,1982,The Birthday Party
Sometimes Pleasure Heads Must Burn,,1982,The Birthday Party
Sonny's Burning,The Bad Seed,1983,The Birthday Party
Wild World,The Bad Seed,1983,The Birthday Party
Fears of Gun,The Bad Seed,1983,The Birthday Party
Deep in the Woods,The Bad Seed,1983,The Birthday Party
Truck Love,Burning the Ice,1983,Die Haut
Stow-A-Way,Burning the Ice,1983,Die Haut
Dumb Europe,Burning the Ice,1983,Die Haut
Pleasure is the Boss,Burning the Ice,1983,Die Haut
Jennifer's Veil,Mutiny!,1983,The Birthday Party
Mutiny in Heaven,Mutiny!,1983,The Birthday Party
Swampland,Mutiny!,1983,The Birthday Party
Vixo,,1983,Annie Hogan
Cabin Fever,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Well Of Misery,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Saint Huck,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Wings Off Flies,From Her To Eternity,1984,Nick Cave & The Bad Seeds
A Box For Black Paul,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Tupelo,The Firstborn Is Dead,1985,Nick Cave & The Bad Seeds
Say Goodbye To The Little Girl Tree,The Firstborn Is Dead,1985,Nick Cave & The Bad Seeds
Train Long Suffering,The Firstborn Is Dead,1985,Nick Cave & The Bad Seeds
Black Crow King,The Firstborn Is Dead,1985,Nick Cave & The Bad Seeds
Knockin' On Joe,The Firstborn Is Dead,1985,Nick Cave & The Bad Seeds
Wanted Man,The Firstborn Is Dead,1985,Nick Cave & The Bad Seeds
Blind Lemon Jefferson,The Firstborn Is Dead,1985,Nick Cave & The Bad Seeds
Sad Waters,Your Funeral… My Trial,1986,Nick Cave & The Bad Seeds
The Carny,Your Funeral… My Trial,1986,Nick Cave & The Bad Seeds
Your Funeral… My Trial,Your Funeral… My Trial,1986,Nick Cave & The Bad Seeds
Stranger Than Kindness,Your Funeral… My Trial,1986,Nick Cave & The Bad Seeds
Jack's Shadow,Your Funeral… My Trial,1986,Nick Cave & The Bad Seeds
Hard On For Love,Your Funeral… My Trial,1986,Nick Cave & The Bad Seeds
She Fell Away,Your Funeral… My Trial,1986,Nick Cave & The Bad Seeds
Long Time Man,Your Funeral… My Trial,1986,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,1988,Nick Cave & The Bad Seeds
Up Jumped The Devil,Tender Prey,1988,Nick Cave & The Bad Seeds
Deanna,Tender Prey,1988,Nick Cave & The Bad Seeds
Watching Alice,Tender Prey,1988,Nick Cave & The Bad Seeds
Mercy,Tender Prey,1988,Nick Cave & The Bad Seeds
City Of Refuge,Tender Prey,1988,Nick Cave & The Bad Seeds
Slowly Goes The Night,Tender Prey,1988,Nick Cave & The Bad Seeds
Sunday's Slave,Tender Prey,1988,Nick Cave & The Bad Seeds
Sugar Sugar Sugar,Tender Prey,1988,Nick Cave & The Bad Seeds
New Morning,Tender Prey,1988,Nick Cave & The Bad Seeds
Foi Na Cruz,The Good Son,1990,Nick Cave & The Bad Seeds
The Good Son,The Good Son,1990,Nick Cave & The Bad Seeds
Sorrow's Child,The Good Son,1990,Nick Cave & The Bad Seeds
The Weeping Song,The Good Son,1990,Nick Cave & The Bad Seeds
The Ship Song,The Good Son,1990,Nick Cave & The Bad Seeds
The Hammer Song,The Good Son,1990,Nick Cave & The Bad Seeds
Lament,The Good Son,1990,Nick Cave & The Bad Seeds
